Produtos;Média de VLR_MERCADORIA
VERG CA50 16mm RT 12m 2t NV; 48.754,13 
VERG CA50 16mm RT12m 1,00t NV # LE 700; 110.702,57 
VERG CA50 20mm RT 10m NV 2t C/D; 106.236,92 
VERG CA50 20mm RT 12m 2t NV; 118.901,09 
VERG CA50 20mm RT 12m 2t NV IND C/D; 119.167,24 
VERG CA50 20mm RT 14m 2t NV C/D; 89.704,82 
VERG CA50 20mm RT12m 1,00t NV # LE 700; 105.695,56 
VERG CA50 25,00MM RETO 8,0 M FX 1500 KG BP; 94.702,94 
VERG CA50 25mm RT 10m 2t NV IND C/D; 111.349,39 
VERG CA50 25mm RT 12m 2t NV; 88.944,49 
VERG CA50 25mm RT 12m 2t NV IND C/D; 117.736,58 
VERG CA50 25mm RT 14m 2t NV IND C/D; 110.902,76 
VERG CA50 25mm RT11m 2,00m NV # LE 700; 116.620,22 
VERG CA50 25mm RT12m 1,00t NV # LE 700; 36.267,79 
VERG CA50 25mm RT14m 2,00t NV # LE 700; 112.570,54 
VERG CA50 32mm RT12m 1,00t NV # LE 700; 83.493,78 
VERG CA50 32mm RT12m 2,00t NV # LE 700; 123.813,43 
VERG CA50 32mm RT7,35m 1,00t NV # LE 700; 113.612,86 
VERG CA50 32mm RT9m 2,00t NV # LE 700; 118.449,17 
VERG CA50 6,3MM DOB12M 1T NV; 114.160,67 
VERG CA50 6,3mm RT 12m; 121.176,38 
VERG CA50 6,3mm RT 12m 1t NV; 98.494,58 
VERG CA50 8mm DOB12m 1t NV; 105.505,31 
VERG CA50 8mm RT 12m1t NV; 130.077,61 
VERGALHÃO DE ACO 3/8 A615GR60 RETO 9m 2 ton; 131.440,35 
VERGALHAO EXP 1/2 A615GR60 RT9M 2T ST; 113.710,34 
VERGALHAO EXP 3/8 A615GR60 RT9M 2T ST; 102.370,20 
VERGALHAO EXP 8mm A615GR60 RT9m 2t ST; 99.721,45 
VERMICULINA FINA; 45.000,00 
VERMICULITA FINA; 45.000,00 
VERMICULITA GRANULADA FINA - 0,71 A 2 MM; 22.245,25 
"VIGA U LAMINADA 6"" 1 ALMA"; 849.641,69 
VN DUAL N RED CBORO 9,50MM RL 2T ME; 116.555,25 
VOLANTE VOLEURO 050; 316.836,30 
W131/2X6N1 NGUKI 3530; 451.421,51 
W131/2X6X3-21/2 MGGCS2717; 412.385,88 
W9X9X3-21/2 MGUDAY 5167; 247.832,10 
W9X9X3-21/2 MGUDAY 5167 MA; 301.029,15 
W9X9X3-23/4 MGUDAY 5167 MA; 341.056,06 
YARAMILA 12 11 18 8S 0,2FE 1,6; 125.646,16 
YARAMILA 16 16 16 WHITE; 106.257,71 
YARAMILA 19 04 19 1MG YARAMILA; 88.136,51 
(vazio); -   
Total Geral;43588,06592
